x_axis,Avian_Lomolino,Avian_Asymp,Avian_Michaelis-Menten,Benthic Invertebrate_Lomolino,Benthic Invertebrate_Asymp,Benthic Invertebrate_Michaelis-Menten,Cetacean_Lomolino,Cetacean_Asymp,Cetacean_Michaelis-Menten,Fish_Lomolino,Fish_Asymp,Fish_Michaelis-Menten,Plant_Lomolino,Plant_Asymp,Plant_Michaelis-Menten,Insect_Lomolino,Insect_Asymp,Insect_Michaelis-Menten
11,203.34136370229695,205.66950220250715,207.10576013501196,,157.69060158862274,157.0847738050917,5.134953047597005,4.7170989450532215,4.45027838837963,274.7639702104371,265.1473775362945,268.03519575064377,80.31562904897024,81.14894646693786,81.86779399271084,102.14214255927783,102.92585776528529,104.59688626910035
12,209.4486024931324,212.24897518868818,212.70346233806458,,164.3875621435439,164.0233026221464,5.309768638766341,4.781168622690556,4.510179000635506,282.9462791440396,269.7829466341068,274.61071358199746,81.99842938308358,82.87764237632433,82.97671374277965,107.44818637366859,108.42620560666792,109.68392504821426
13,214.9634777424041,217.96633079054868,217.6046870196409,,170.24350948187532,170.29153546605545,5.472200842465104,4.830394774207571,4.561341937520405,290.23657142610074,273.38179612214003,280.3419049329434,83.53550661502312,84.36625628393826,83.92402365548571,112.45663856176306,113.51071853602133,114.31707270280283
14,219.9766965642147,222.93453343334104,221.93180697343564,,175.36405916229884,175.98212768233637,5.623935788089238,4.868216316043518,4.605549079172361,296.77901743099534,276.17578265631334,285.3815819704469,84.94922166474119,85.64813087732931,84.74265287008932,117.20107060165499,118.21083432401912,118.55448253357835
15,224.56032960108948,227.25174565848528,225.7801128621021,,179.84156340111883,181.17140975512444,5.766326941387685,4.897275443819408,4.644128637937437,302.6875507949319,278.3449094228256,289.847778946014,86.25716311363763,86.75197819783122,85.45715343193173,121.70924314459998,122.5556139966308,122.4447804631724
16,228.77253449518915,231.00326763474254,229.22491232413108,,183.75677670044433,185.92283095217076,5.900478880633877,4.91960221491611,4.678090898609997,308.0535379690069,280.0289228823221,293.8331132919292,87.47341824273587,87.70252274662042,86.08620489211015,126.00444072975931,126.5719215207442,126.02893937980743
17,232.66087577367455,234.26322253257496,232.3265072337315,,187.18031230456805,190.28956655443756,6.027305935922833,4.936756367354853,4.708217973300709,312.9511946969777,281.33631596581864,297.41127752893,88.60944623717657,88.5210552759398,86.6442710121658,130.10643214793055,130.28458990527326,129.3417277395057
18,236.2647139070608,237.09602106158803,235.13375390167852,,190.1739157526157,194.31651646218225,6.147574306586383,4.949936282382293,4.7351247746978995,317.4414939777075,282.35131775522575,300.64163810039264,89.67469451707717,89.22590966956864,87.14272557064038,134.0321782972472,133.716574744762,132.41284113244916
19,239.61696004508912,239.55763410761955,237.6866555814597,,192.79157849675897,198.04185472453176,6.261932992326822,4.960062702836515,4.759301429043666,321.57503898817026,283.1393199601513,303.57255531801445,90.67704402578313,89.83287359393577,87.59063569151706,137.79636485496826,136.8890961548514,135.26779491422337
20,242.7453881548126,241.6966986144426,240.01828084785916,,195.08051167077193,201.4982434657847,6.370936953787697,4.967843055820748,4.781143401952302,325.394210424225,283.7510897929219,306.243820960029,91.62313755264154,90.35554211783685,87.99531837752404,141.41181041857425,139.82176997720282,137.92863476178928
