id,basisOfRecord,dynamicProperties,occurrenceID,recordedBy,individualCount,organismQuantity,organismQuantityType,reproductiveCondition,behavior,georeferenceVerificationStatus,associatedReferences,occurrenceRemarks,eventDate,eventTime,year,month,day,samplingProtocol,continent,country,countryCode,locality,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,verbatimIdentification,identificationQualifier,taxonID,scientificNameID,taxonConceptID,scientificName,kingdom,taxonRank,vernacularName,taxonomicStatus,taxonRemarks
2022-07-26_Cetacean_HumanObservation_0031,HumanObservation,{'mother-calf pairs': 'present'},2022-07-26_Cetacean_HumanObservation_0031,研海生態顧問股份有限公司 (Ceta explorers Company Limited),175,150~200,individuals,,travelling,able to georeference,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,,2022-07-26,10:02:00,2022,7,26,Route Survey | Line Transect Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.18917,121.82925,EPSG:4326,300,1e-05,Delphinus,,KL_Cetacean_0000003,9454,t0018482,Delphinus,Animalia,genus,真海豚屬,accepted,海豚屬
2022-07-26_Cetacean_HumanObservation_0032,HumanObservation,{'mother-calf pairs': 'absent'},2022-07-26_Cetacean_HumanObservation_0032,研海生態顧問股份有限公司 (Ceta explorers Company Limited),6,5~8,individuals,,milling,able to georeference,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,,2022-07-26,15:36:00,2022,7,26,Route Survey | Line Transect Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.54915,122.10949,EPSG:4326,300,1e-05,Pseudorca crassidens,,KL_Cetacean_0000005,85595,t0037124,Pseudorca crassidens,Animalia,species,偽虎鯨,accepted,
2022-07-26_Cetacean_HumanObservation_0033,HumanObservation,{'mother-calf pairs': 'present'},2022-07-26_Cetacean_HumanObservation_0033,研海生態顧問股份有限公司 (Ceta explorers Company Limited),90,80~100,individuals,,feeding,able to georeference,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,,2022-07-26,11:04:00,2022,7,26,Route Survey | Line Transect Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.26397,121.9371,EPSG:4326,300,1e-05,Tursiops,,KL_Cetacean_0000001,19483,t0017886,Tursiops,Animalia,genus,寬吻海豚屬,accepted,
2022-07-26_Cetacean_HumanObservation_0034,HumanObservation,{'mother-calf pairs': 'absent'},2022-07-26_Cetacean_HumanObservation_0034,研海生態顧問股份有限公司 (Ceta explorers Company Limited),1,1,individuals,,,able to georeference,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,,2022-07-26,14:42:00,2022,7,26,Route Survey | Line Transect Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.52015,122.11262,EPSG:4326,300,1e-05,Tursiops,,KL_Cetacean_0000001,19483,t0017886,Tursiops,Animalia,genus,寬吻海豚屬,accepted,
2022-07-26_Cetacean_HumanObservation_0035,HumanObservation,{'mother-calf pairs': 'present'},2022-07-26_Cetacean_HumanObservation_0035,研海生態顧問股份有限公司 (Ceta explorers Company Limited),25,20~30,individuals,,travelling,able to georeference,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,,2022-07-26,15:00:00,2022,7,26,Route Survey | Line Transect Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.52047,122.12775,EPSG:4326,300,1e-05,Tursiops,,KL_Cetacean_0000001,19483,t0017886,Tursiops,Animalia,genus,寬吻海豚屬,accepted,
2022-07-26_Cetacean_HumanObservation_0036,HumanObservation,{'mother-calf pairs': 'absent'},2022-07-26_Cetacean_HumanObservation_0036,研海生態顧問股份有限公司 (Ceta explorers Company Limited),4,3~5,individuals,,,able to georeference,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,,2022-07-26,15:20:00,2022,7,26,Route Survey | Line Transect Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.5335,122.13806,EPSG:4326,800,1e-05,Tursiops,,KL_Cetacean_0000001,19483,t0017886,Tursiops,Animalia,genus,寬吻海豚屬,accepted,
2022-07-26_Cetacean_HumanObservation_0037,HumanObservation,{'mother-calf pairs': 'absent'},2022-07-26_Cetacean_HumanObservation_0037,研海生態顧問股份有限公司 (Ceta explorers Company Limited),1,1,individuals,,,able to georeference,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,,2022-07-26,11:04:00,2022,7,26,Route Survey | Line Transect Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.26397,121.9371,EPSG:4326,300,1e-05,Cetacea,,KL_Cetacean_0000006,5558,t0001757,Cetacea,Animalia,order,未知鯨豚,accepted,鯨目
2022-07-27_Cetacean_HumanObservation_0038,HumanObservation,{'mother-calf pairs': 'absent'},2022-07-27_Cetacean_HumanObservation_0038,研海生態顧問股份有限公司 (Ceta explorers Company Limited),35,30~40,individuals,,travelling,able to georeference,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,,2022-07-27,13:31:00,2022,7,27,Route Survey | Line Transect Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.28216,121.91146,EPSG:4326,4000,1e-05,Tursiops,,KL_Cetacean_0000001,19483,t0017886,Tursiops,Animalia,genus,寬吻海豚屬,accepted,
2022-07-27_Cetacean_HumanObservation_0039,HumanObservation,{'mother-calf pairs': 'present'},2022-07-27_Cetacean_HumanObservation_0039,研海生態顧問股份有限公司 (Ceta explorers Company Limited),25,20~30,individuals,,feeding,able to georeference,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,,2022-07-27,12:36:00,2022,7,27,Route Survey | Line Transect Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.39721,121.93636,EPSG:4326,300,1e-05,Tursiops truncatus,,KL_Cetacean_0000002,91214,t0028415,Tursiops truncatus,Animalia,species,真瓶鼻海豚,accepted,
2022-07-27_Cetacean_HumanObservation_0040,HumanObservation,,2022-07-27_Cetacean_HumanObservation_0040,研海生態顧問股份有限公司 (Ceta explorers Company Limited),,undetermined,individuals,,,able to georeference,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,,2022-07-27,14:08:00,2022,7,27,Route Survey | Line Transect Survey,Asia,Taiwan,TW,waters off Keelung,0,0,25.20936,121.86551,EPSG:4326,4000,1e-05,Cetacea,,KL_Cetacean_0000006,5558,t0001757,Cetacea,Animalia,order,未知鯨豚,accepted,鯨目
