taxonID,scientificNameID,taxonConceptID,taxonomicStatus,kingdom,scientificName,verbatimIdentification,taxonRank,vernacularName,taxonRemarks,identificationQualifier
KL_Avian_0000047,87255,t0032689,accepted,Animalia,Scolopax rusticola,Scolopax rusticola,species,山鷸,,
KL_Avian_0000062,76354,t0066862,accepted,Animalia,Larus crassirostris,Larus crassirostris,species,黑尾鷗,,
KL_Avian_0000063,57346,t0096009,accepted,Animalia,Larus argentatus,Larus argentatus,species,銀鷗,,
KL_Avian_0000093,54182,t0100093,accepted,Animalia,Ardea alba,Ardea alba,species,大白鷺,,
KL_Avian_0000094,64348,t0072176,accepted,Animalia,Ardea intermedia,Ardea intermedia,species,中白鷺,,
KL_Avian_0000109,55168,t0030542,accepted,Animalia,Circus spilonotus,Circus spilonotus,species,東方澤鵟,,
KL_Avian_0000112,53737,t0099757,accepted,Animalia,Accipiter gularis,Accipiter gularis,species,日本松雀鷹,,
KL_Avian_0000113,53738,t0099758,accepted,Animalia,Accipiter nisus,Accipiter nisus,species,北雀鷹,,
KL_Avian_0000117,58198,t0098059,accepted,Animalia,Ninox japonica,Ninox japonica,species,褐鷹鴞,,
KL_Avian_0000118,60604,t0096620,accepted,Animalia,Upupa epops,Upupa epops,species,戴勝,,
KL_Avian_0000119,53925,t0099912,accepted,Animalia,Alcedo atthis,Alcedo atthis,species,翠鳥,,
KL_Avian_0000136,57335,t0096004,accepted,Animalia,Lanius schach,Lanius schach,species,棕背伯勞,,
KL_Avian_0000139,53916,t0099909,accepted,Animalia,Alauda gulgula,Alauda gulgula,species,小雲雀,,
KL_Avian_0000152,55751,t0097933,accepted,Animalia,Delichon dasypus,Delichon dasypus,species,東方毛腳燕,,
KL_Avian_0000153,59294,t0098689,accepted,Animalia,Pycnonotus sinensis,Pycnonotus sinensis,species,白頭翁,,
KL_Avian_0000157,58811,t0098479,accepted,Animalia,Phylloscopus fuscatus,Phylloscopus fuscatus,species,褐色柳鶯,,
KL_Avian_0000172,88305,t0103438,accepted,Animalia,Spodiopsar cineraceus,Spodiopsar cineraceus,species,灰椋鳥,,
KL_Avian_0000173,53763,t0099780,accepted,Animalia,Acridotheres tristis,Acridotheres tristis,species,家八哥,,
KL_Avian_0000174,62093,t0057548,accepted,Animalia,Acridotheres javanicus,Acridotheres javanicus,species,白尾八哥,,
KL_Avian_0000178,91189,t0048255,accepted,Animalia,Turdus cardis,Turdus cardis,species,烏灰鶇,,
KL_Avian_0000181,60552,t0096596,accepted,Animalia,Turdus chrysolaus,Turdus chrysolaus,species,赤腹鶇,,
KL_Avian_0000182,91196,t0048262,accepted,Animalia,Turdus pallidus,Turdus pallidus,species,白腹鶇,,
KL_Avian_0000184,91190,t0048256,accepted,Animalia,Turdus eunomus,Turdus eunomus,species,斑點鶇,,
KL_Avian_0000188,58060,t0096469,accepted,Animalia,Muscicapa dauurica,Muscicapa dauurica,species,寬嘴鶲,,
KL_Avian_0000202,58786,t0098448,accepted,Animalia,Phoenicurus auroreus,Phoenicurus auroreus,species,黃尾鴝,,
KL_Avian_0000209,79751,t0080592,accepted,Animalia,Motacilla grandis,Motacilla grandis,species,日本鶺鴒,,
KL_Avian_0000218,73166,t0064066,accepted,Animalia,Fringilla montifringilla,Fringilla montifringilla,species,花雀,,
KL_Avian_0000222,55087,t0073215,accepted,Animalia,Chloris sinica,Chloris sinica,species,金翅雀,,
KL_Avian_0000230,71417,t0062499,accepted,Animalia,Emberiza pusilla,Emberiza pusilla,species,小鵐,,
KL_Avian_0000231,71418,t0062500,accepted,Animalia,Emberiza rustica,Emberiza rustica,species,田鵐,,
KL_Avian_0000233,56159,t0096864,accepted,Animalia,Emberiza spodocephala,Emberiza spodocephala,species,灰頭黑臉鵐,,
KL_Avian_0000101,58242,t0098099,accepted,Animalia,Nycticorax nycticorax,Nycticorax nycticorax,species,夜鷺,,
KL_Avian_0000129,58362,t0098180,accepted,Animalia,Oriolus chinensis,Oriolus chinensis,species,黃鸝,,
KL_Avian_0000154,57150,t0097351,accepted,Animalia,Hypsipetes amaurotis,Hypsipetes amaurotis,species,棕耳鵯,,
KL_Avian_0000007,54029,t0099969,accepted,Animalia,Anas crecca,Anas crecca,species,小水鴨,,
KL_Avian_0000038,58236,t0098090,accepted,Animalia,Numenius phaeopus,Numenius phaeopus,species,中杓鷸,,
KL_Avian_0000041,54193,t0061031,accepted,Animalia,Arenaria interpres,Arenaria interpres,species,翻石鷸,,
KL_Avian_0000092,54184,t0100095,accepted,Animalia,Ardea purpurea,Ardea purpurea,species,紫鷺,,
KL_Avian_0000100,260903,t0097420,accepted,Animalia,Butorides atricapilla,Butorides atricapilla,species,綠簑鷺,,
KL_Avian_0000121,74220,t0029480,accepted,Animalia,Halcyon pileata,Halcyon pileata,species,黑頭翡翠,,
