taxonID,occurrenceID,eventDate,year,month,day,eventTime,basisOfRecord,continent,country,locality,samplingProtocol,scientificName,taxonRank,vernacularName,individualCount,organismQuantityType,organismQuantity,georeferenceVerificationStatus,geodeticDatum,decimalLongitude,decimalLatitude,coordinatePrecision,coordinateUncertaintyInMeters,recordedBy,sex,lifeStage,reproductiveCondition,behavior,vitality,occurrenceStatus,occurrenceRemarks,associatedMedia,associatedReferences,dynamicProperties,verbatimEventDate
KL_Cetacean_0000001,2022-06-04_Cetacean_HumanObservation_0024,2022/6/4,2022,6,4,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,3,individuals,3~4,able to georeference,WGS84,122.05433,25.43633,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:absent},2022/6/4
KL_Cetacean_0000006,2022-06-04_Cetacean_HumanObservation_0030,2022/6/4,2022,6,4,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Cetacea,infraorder,未知鯨豚,4,individuals,4~5,able to georeference,WGS84,121.85581,25.28031,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:unknown},2022/6/4
KL_Cetacean_0000001,2022-06-04_Cetacean_HumanObservation_0027,2022/6/4,2022,6,4,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,25,individuals,20~30,able to georeference,WGS84,122.03441,25.40821,0.000001,,研海生態顧問股份有限公司,,,,繞圈徘徊、覓食,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:absent},2022/6/4
KL_Cetacean_0000001,2022-06-04_Cetacean_HumanObservation_0028,2022/6/4,2022,6,4,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,45,individuals,40~50,able to georeference,WGS84,122.05054,25.41019,0.000001,,研海生態顧問股份有限公司,,,,游走、社交,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:present},2022/6/4
KL_Cetacean_0000001,2022-06-04_Cetacean_HumanObservation_0025,2022/6/4,2022,6,4,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,,individuals,無法判斷,able to georeference,WGS84,122.05103,25.42536,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:absent},2022/6/4
KL_Cetacean_0000001,2022-06-04_Cetacean_HumanObservation_0026,2022/6/4,2022,6,4,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,,individuals,無法判斷,able to georeference,WGS84,122.08085,25.47797,0.000001,,研海生態顧問股份有限公司,,,,覓食,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:absent},2022/6/4
KL_Cetacean_0000001,2022-06-04_Cetacean_HumanObservation_0029,2022/6/4,2022,6,4,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,,individuals,無法判斷,able to georeference,WGS84,122.10107,25.41261,0.000001,,研海生態顧問股份有限公司,,,,游走,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:unknown},2022/6/4
KL_Cetacean_0000001,2022-07-26_Cetacean_HumanObservation_0034,2022/7/26,2022,7,26,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,1,individuals,1,able to georeference,WGS84,122.11262,25.52015,0.000001,,研海生態顧問股份有限公司,,,,不知,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:absent},2022/7/26
KL_Cetacean_0000006,2022-07-26_Cetacean_HumanObservation_0037,2022/7/26,2022,7,26,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Cetacea,infraorder,未知鯨豚,1,individuals,1,able to georeference,WGS84,121.9371,25.26397,0.000001,,研海生態顧問股份有限公司,,,,不知,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:absent},2022/7/26
KL_Cetacean_0000001,2022-07-26_Cetacean_HumanObservation_0036,2022/7/26,2022,7,26,,HumanObservation,Asia,Taiwan,基隆到北方三島的海域,,Tursiops,genus,瓶鼻海豚,4,individuals,3~5,able to georeference,WGS84,122.13806,25.5335,0.000001,,研海生態顧問股份有限公司,,,,不知,,,,,2022年棉花嶼、花瓶嶼野生動物保護區巡護暨動植物生態調查委託案成果報告,{mother-calf pairs:absent},2022/7/26
