x_axis,Avian_Lomolino,Avian_Asymp,Avian_Michaelis-Menten,BenthicInvertebrate_Lomolino,BenthicInvertebrate_Asymp,BenthicInvertebrate_Michaelis-Menten,Cetacean_Lomolino,Cetacean_Asymp,Cetacean_Michaelis-Menten,Fish_Lomolino,Fish_Asymp,Fish_Michaelis-Menten,Insect_Lomolino,Insect_Asymp,Insect_Michaelis-Menten,Plant_Lomolino,Plant_Asymp,Plant_Michaelis-Menten
11,201.47484157222172,203.80932975739154,205.1816595341012,,153.98986020007595,153.42584911282663,5.134953047597005,4.7170989450532215,4.45027838837963,271.43785462267505,261.9398636677688,265.51895932151933,97.26515734842306,98.06014102674945,99.59593453059892,80.2364035376576,81.08303466745102,81.41806112642726
12,207.44328389461677,210.2380445291277,210.6376003219708,,160.36972996004886,160.06658071097345,5.309768638766341,4.781168622690556,4.510179000635506,279.2041208025477,266.25192964296684,271.8926725633959,102.07671006029753,103.05137212176443,104.1633064884877,81.6577337132084,82.51838629903311,82.33340053000478
13,212.8290837756315,215.81603695152006,215.41088694226008,,165.92903450417074,166.05608586298098,5.472200842465104,4.830394774207571,4.561341937520405,286.1007207904664,269.5722506478564,277.442620575718,106.59986170986946,107.63735143465587,108.30216581590854,82.94442722706908,83.7306056190172,83.1120539065861
14,217.7219084928415,220.6558845056624,219.62209775778527,,170.7733131770986,171.485681298433,5.623935788089238,4.868216316043518,4.605549079172361,292.2709971342446,272.1289210789029,282.31880989463053,110.86817683855861,111.85098247235177,112.07011519462034,84.1181213022317,84.75437961795222,83.78251074066087
15,222.1929298352308,224.85526711028984,223.36499283743913,,174.99453107849902,176.43037321168575,5.766326941387685,4.897275443819408,4.644128637937437,297.827778174755,274.0975752190784,286.6369099841568,114.90933071348795,115.72249721554417,115.51487578240116,85.19570234504975,85.61900302694818,84.36585743627431
16,226.29952647407313,228.49893854059218,226.7135771662122,,178.67282495343284,180.95234323250003,5.900478880633877,4.91960221491611,4.678090898609997,302.86120698442744,275.61345269650667,290.4875462917455,118.74647016418518,119.27967302725263,118.67631899967002,86.19059584284572,86.34921657032928,84.87803527435105
17,230.08858553372627,231.66043696594932,229.72704324812148,,181.87802453004963,185.10357699888726,6.027305935922833,4.936756367354853,4.708217973300709,307.44425015421496,276.78068897213274,293.94273017074613,122.39919170626571,122.54803194998526,121.5880167992535,87.11364686152544,86.96591490788224,85.33131946472515
18,233.59887613135365,234.40356912940734,232.4533004933948,,184.67097818607832,188.92787167371034,6.147574306586383,4.949936282382293,4.7351247746978995,311.6366582758528,277.679469080304,297.06040453848556,125.88426167542536,125.55102382141473,124.27843849529721,87.97373774019138,87.48674452407865,85.73531572326462
19,236.86279110828585,236.7836981232556,234.931541366614,,187.10470811092682,192.46238711311437,6.261932992326822,4.960062702836515,4.759301429043666,315.48786755068295,278.37153605912636,299.88771947737814,129.21615749597578,128.3101945223889,126.77188471969941,88.77823176998879,87.92660867254328,86.09764852299712
20,239.90764831834753,238.848860751153,237.19413765329674,,189.22541689330063,195.73885729532688,6.370936953787697,4.967843055820748,4.781143401952302,319.0391614815286,278.9044324804221,302.4634333546986,132.40748189537885,130.84534056442283,129.08922348774152,89.53329851013139,88.29809382447742,86.42444685206264
